method,average_depth,average_depth_min,average_depth_max,ARC,ARC_min,ARC_max,average_breadth,average_breadth_min,average_breadth_max,max_breadth,max_breadth_min,max_breadth_max
Applied Alignments,-1.8100,-1.8100,-1.8100,0.0000,0.0000,0.0000,0.1600,0.1600,0.1600,0.0000,0.0000,0.0000
AROM,-1.8100,-1.8100,-1.8100,0.0000,0.0000,0.0000,0.1600,0.1600,0.1600,0.0000,0.0000,0.0000
CoMerger,,,,,,,,,,,,
Boomer,-0.7600,-0.7600,-0.7600,0.0000,0.0000,0.0000,0.1600,0.1600,0.1600,0.0000,0.0000,0.0000
Proposed: gpt-oss,-14.3600,-17.2800,-7.7800,4655.5600,4100.0000,5505.5600,-19.7800,-25.1200,-16.6200,-52.7300,-76.3700,-52.7300
Proposed: deepseek-v4-flash,-15.6100,-18.7200,-2.6300,55.5600,22.2200,3700.0000,-3.8000,-15.9700,-0.3500,0.0000,-52.7300,0.0000
