method,average_depth,average_depth_min,average_depth_max,ARC,ARC_min,ARC_max,average_breadth,average_breadth_min,average_breadth_max,max_breadth,max_breadth_min,max_breadth_max
Applied Alignments,-18.4400,-18.4400,-18.4400,-42.9500,-42.9500,-42.9500,7.0700,7.0700,7.0700,11.2600,11.2600,11.2600
AROM,-18.4400,-18.4400,-18.4400,-42.9500,-42.9500,-42.9500,7.0500,7.0500,7.0500,11.2600,11.2600,11.2600
CoMerger,-18.4400,-18.4400,-18.4400,-42.9500,-42.9500,-42.9500,7.0500,7.0500,7.0500,11.2600,11.2600,11.2600
Boomer,-18.4400,-18.4400,-18.4400,-42.7600,-42.7600,-42.7600,7.0700,7.0700,7.0700,11.2600,11.2600,11.2600
Proposed: gpt-oss,-33.1400,-37.1500,-31.9200,-2.9300,-8.8900,8.1400,-0.9500,-6.1200,0.2400,20.5300,10.6000,25.1700
Proposed: deepseek-v4-flash,-33.5000,-34.2000,-29.8700,12.7700,7.4700,22.3300,0.3100,-2.1100,4.2500,13.9100,11.9200,17.8800
