method,average_depth,average_depth_min,average_depth_max,ARC,ARC_min,ARC_max,average_breadth,average_breadth_min,average_breadth_max,max_breadth,max_breadth_min,max_breadth_max
Applied Alignments,-0.9100,-0.9100,-0.9100,-23.0800,-23.0800,-23.0800,10.3100,10.3100,10.3100,44.4400,44.4400,44.4400
AROM,-0.9100,-0.9100,-0.9100,-23.0800,-23.0800,-23.0800,10.3100,10.3100,10.3100,44.4400,44.4400,44.4400
CoMerger,-0.9100,-0.9100,-0.9100,-23.0800,-23.0800,-23.0800,10.3100,10.3100,10.3100,44.4400,44.4400,44.4400
Boomer,-0.9100,-0.9100,-0.9100,-23.0800,-23.0800,-23.0800,10.3100,10.3100,10.3100,44.4400,44.4400,44.4400
Proposed: gpt-oss,-0.5400,-7.7300,13.9200,-7.6900,-46.1500,30.7700,9.1000,-1.4000,21.5700,55.5600,33.3300,77.7800
Proposed: deepseek-v4-flash,0.7000,-9.5200,19.6200,-30.7700,-46.1500,-23.0800,11.1200,-2.9800,22.5800,44.4400,33.3300,55.5600
