# NOTE: CoMerger: excluded from swo-acm.
method,Syntactic Uniqueness Ratio,Syntactic Uniqueness Ratio_min,Syntactic Uniqueness Ratio_max,Structural Redundancy,Structural Redundancy_min,Structural Redundancy_max
Naive Union,1.0000,1.0000,1.0000,0.0291,0.0291,0.0291
Applied Alignments,1.0000,1.0000,1.0000,0.0893,0.0893,0.0893
AROM,1.0000,1.0000,1.0000,0.0893,0.0893,0.0893
CoMerger,1.0000,1.0000,1.0000,0.0893,0.0893,0.0893
Boomer,1.0000,1.0000,1.0000,0.0893,0.0893,0.0893
Proposed: gpt-oss,0.9902,0.9896,0.9913,0.1677,0.1535,0.1733
Proposed: deepseek-v4-flash,0.9857,0.9824,0.9879,0.1584,0.1565,0.1634
